id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q011	so	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad betyder demokrati?	What does democracy mean?	Dimuqraadiyaddu maxay ka dhigan tahay?	a	Folkstyre	Rule by the people	Xukunka dadka	a: Folkstyre | b: Militärstyre | c: Envälde | d: Företagsstyre	a: Rule by the people | b: Military rule | c: Autocracy | d: Rule by companies	a: Xukunka dadka | b: Xukun milatari | c: Kelitalisnimo | d: Xukun shirkado	Demokrati betyder folkstyre: makten utgår från folket och medborgarna kan påverka beslut. Människor ska kunna välja mellan flera politiska alternativ, och de som får makten ska kunna bytas ut. Militärstyre, envälde och företagsstyre lägger makten någon annanstans.	Democracy means rule by the people: power comes from the people, and citizens can influence decisions. People should be able to choose between several political alternatives, and those who gain power can be replaced. Military rule, autocracy, and rule by companies place power somewhere else.	Dimuqraadiyaddu waxay ka dhigan tahay xukunka dadka: awooddu waxay ka timaaddaa dadka, muwaadiniintuna waxay saameyn ku yeelan karaan go’aamada. Dadku waa inay dooran karaan ikhtiyaarro siyaasadeed oo kala duwan, kuwa awoodda hayana waa in la beddeli karaa.	pending_native_review	pending_reviewer_notes
q012	so	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vilket av följande ingår i fria val i en demokrati?	Which of the following is part of free elections in a democracy?	Kuwan soo socda kee baa ka mid ah doorashooyinka xorta ah ee dimuqraadiyadda?	a	Alla som har rätt att rösta har en röst var	Everyone who is eligible to vote has one vote	Qof kasta oo xaq u leh inuu codeeyo wuxuu leeyahay hal cod	a: Alla som har rätt att rösta har en röst var | b: Bara ett parti får ställa upp | c: Väljare måste visa offentligt hur de röstar | d: Regeringen bestämmer hur alla röster ska användas	a: Everyone who is eligible to vote has one vote | b: Only one party may stand for election | c: Voters must publicly show how they vote | d: The government decides how all votes must be used	a: Qof kasta oo xaq u leh inuu codeeyo wuxuu leeyahay hal cod | b: Hal xisbi oo keliya ayaa isu soo taagi kara | c: Codbixiyayaashu waa inay si cad u muujiyaan sida ay u codeeyaan | d: Dowladdu waxay go’aamisaa sida dhammaan codadka loo isticmaalo	Fria val innebär att alla som har rätt att rösta har en röst var. Väljare ska kunna uttrycka sina åsikter utan hot eller tvång, det ska finnas flera partier och valet ska vara hemligt.	Free elections mean that everyone who is eligible to vote has one vote. Voters should be able to express their views without threats or coercion, there should be several parties, and the vote should be secret.	Doorashooyinka xorta ahi waxay ka dhigan yihiin in qof kasta oo xaq u leh inuu codeeyo uu leeyahay hal cod. Codbixiyayaashu waa inay aragtidooda dhiiban karaan cabsi gelin ama khasab la’aan, xisbiyo badan waa inay jiraan, codkuna waa inuu qarsoodi ahaadaa.	pending_native_review	pending_reviewer_notes
q013	so	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	En stark demokrati	10	Hur kan människor påverka samhället och delta i demokratin?	How can people influence society and participate in democracy?	Kee baa ah hab lagu saameeyo laguna ka qayb qaato bulshada?	a	Kontakta politiker, demonstrera eller skriva på en namninsamling	Contact politicians, join a demonstration, or sign a petition	La xiriir siyaasiyiin, bannaanbax samee ama saxiix codsi	a: Kontakta politiker, demonstrera eller skriva på en namninsamling | b: Förbjuda andra från att rösta i politiska val | c: Tvinga journalister att skriva vissa åsikter | d: Stoppa människor från att prata om politik	a: Contact politicians, join a demonstration, or sign a petition | b: Ban others from voting in political elections | c: Force journalists to write certain opinions | d: Stop people from talking about politics	a: La xiriir siyaasiyiin, bannaanbax samee ama saxiix codsi | b: In dadka kale laga mamnuuco inay codeeyaan doorashooyinka siyaasadeed | c: In saxafiyiinta lagu qasbo inay qoraan fikrado gaar ah | d: In dadka laga joojiyo inay ka hadlaan siyaasadda	Det finns flera demokratiska sätt att påverka och delta i samhället, till exempel att kontakta politiker, demonstrera och starta eller skriva på en namninsamling. De andra alternativen skulle hindra människor från att rösta, uttrycka åsikter eller delta i demokratin.	People can influence and participate in society in several democratic ways, including contacting politicians, joining a demonstration, and starting or signing a petition. The other options would stop people from voting, expressing opinions, or taking part in democracy.	Waxaa jira dhowr hab oo dimuqraadi ah oo lagu saameeyo laguna ka qayb qaato bulshada, tusaale ahaan la xiriir siyaasiyiin, bannaanbax, ama bilaabid ama saxiixid codsi. Xulashooyinka kale waxay dadka ka hor istaagi lahaayeen codeynta, muujinta fikradaha ama ka qayb qaadashada dimuqraadiyadda.	pending_native_review	pending_reviewer_notes
q014	so	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad kallas det när lagarna gäller lika för alla och ingen får dömas utan en rättvis rättegång?	What is it called when laws apply equally to everyone and no one can be convicted without a fair trial?	Maxaa la yiraahdaa marka sharciyadu si siman u khuseeyaan qof kasta oo aan qofna la xukumi karin maxkamad cadaalad ah la’aanteed?	a	Rättssäkerhet	The rule of law	Hubaal sharci	a: Rättssäkerhet | b: Censur | c: Segregation | d: Monarki	a: The rule of law | b: Censorship | c: Segregation | d: Monarchy	a: Hubaal sharci | b: Faafreeb | c: Kala soocid | d: Boqortooyo	Rättssäkerhet betyder att lagarna gäller för alla och att ingen får dömas utan en rättvis rättegång. Censur, segregation och monarki betyder andra saker.	The rule of law means that laws apply to everyone and that no one can be convicted without a fair trial. Censorship, segregation, and monarchy mean other things.	Hubaal sharci waxay ka dhigan tahay in sharciyadu qof kasta khuseeyaan, qofna aan la xukumi karin maxkamad cadaalad ah la’aanteed. Faafreeb, kala soocid iyo boqortooyo waa waxyaabo kale.	pending_native_review	pending_reviewer_notes
q015	so	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Hot mot demokratin	11	Hur kan ett lågt valdeltagande påverka demokratin?	How can a low voter turnout affect democracy?	Sidee ka qaybgal doorasho oo hooseeya u saameyn karaa dimuqraadiyadda?	a	Människor kan få mindre möjlighet att påverka politiska beslut	People may have fewer opportunities to influence political decisions	Dadku waxay yeelan karaan fursado yar oo ay ku saameeyaan go’aamada siyaasadeed	a: Människor kan få mindre möjlighet att påverka politiska beslut | b: Alla väljare får två röster var i nästa val | c: Domstolarna tar över riksdagens uppgifter | d: Samhället blir automatiskt mer integrerat	a: People may have fewer opportunities to influence political decisions | b: All voters get two votes each in the next election | c: The courts take over the Riksdag's tasks | d: Society automatically becomes more integrated	a: Dadku waxay yeelan karaan fursado yar oo ay ku saameeyaan go’aamada siyaasadeed | b: Dhammaan codbixiyayaashu waxay helayaan labo cod doorashada xigta | c: Maxkamaduhu waxay la wareegaan hawlaha baarlamaanka | d: Bulshadu si toos ah ayay u noqotaa mid isdhexgal badan	Ett lågt valdeltagande kan göra det svårare för människor att påverka politiska beslut i sin vardag. Det kan också öka skillnaderna mellan grupper i samhället; de andra alternativen beskriver följder som inte följer av lågt valdeltagande.	Low voter turnout can leave people with fewer opportunities to influence political decisions in everyday life. It can also widen differences between groups in society; the other options describe effects that do not follow from low voter turnout.	Ka qaybgalka hoose ee doorashadu wuxuu adkayn karaa in dadku saameeyaan go’aamada siyaasadeed ee nolol maalmeedkooda. Waxa kale oo uu kordhin karaa kala duwanaanshaha u dhexeeya kooxaha bulshada. Xulashooyinka kale kama dhashaan ka qaybgal hoose.	pending_native_review	pending_reviewer_notes
q016	so	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur väljer medborgarna ledamöter till riksdagen i Sveriges parlamentariska representativa demokrati?	How do citizens choose members of the Riksdag in Sweden's parliamentary representative democracy?	Muwaadiniintu sidee bay u doortaan xubnaha Riksdag-ka ee dimuqraadiyadda wakiillada baarlamaaniga ah ee Iswiidhan?	a	Genom att rösta i allmänna val	By voting in general elections	Iyagoo ka codeeya doorashooyinka guud	a: Genom att rösta i allmänna val | b: Domstolarna väljer alla riksdagsledamöter | c: Kungen bestämmer ensam över riksdagen | d: Myndigheter röstar fram regeringen	a: By voting in general elections | b: The courts elect all members of the Riksdag | c: The king alone decides over the Riksdag | d: Government agencies vote the government into office	a: Iyagoo ka codeeya doorashooyinka guud | b: Maxkamaduhu waxay doortaan dhammaan xubnaha Riksdag-ka | c: Boqorku keligiis ayuu ka taliyaa Riksdag-ka | d: Hay’adaha dowladdu waxay cod ku doortaan dowladda	Sverige är en parlamentarisk representativ demokrati: medborgarna väljer riksdagsledamöter genom att rösta i allmänna val. Riksdagen fattar sedan beslut om lagar och statens budget, så varken domstolarna, kungen eller myndigheter väljer ledamöterna.	Sweden is a parliamentary representative democracy: citizens elect members of the Riksdag by voting in general elections. The Riksdag then decides on laws and the state budget, so the courts, the king, and government agencies do not choose its members.	Iswiidhan waa dimuqraadiyad wakiillo baarlamaani ah: muwaadiniintu waxay xubnaha Riksdag-ka ku doortaan codbixin doorashooyin guud. Riksdag-ku markaas wuxuu go’aamiyaa sharciyada iyo miisaaniyadda dowladda, sidaa darteed maxkamadaha, boqorka ama hay’adaha dowladdu ma doortaan xubnaha.	pending_native_review	pending_reviewer_notes
q017	so	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur många ledamöter har riksdagen?	How many members does the Riksdag have?	Immisa xubnood ayuu Riksdag-ku leeyahay?	c	349	349	349	a: 21 | b: 290 | c: 349 | d: 1 600	a: 21 | b: 290 | c: 349 | d: 1,600	a: 21 | b: 290 | c: 349 | d: 1,600	Riksdagen har 349 ledamöter, och de väljs vart fjärde år. Talen 21, 290 och 1 600 anger inte antalet ledamöter i riksdagen.	The Riksdag has 349 members, and they are elected every four years. The numbers 21, 290, and 1,600 do not give the number of Riksdag members.	Riksdag-ku wuxuu leeyahay 349 xubnood, waxaana la doortaa afartii sano mar. Tirooyinka 21, 290 iyo 1,600 ma aha tirada xubnaha Riksdag-ka.	pending_native_review	pending_reviewer_notes
q018	so	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Vem väljer statsministern?	Who chooses the prime minister?	Yaa doorta ra’iisul wasaaraha?	a	Riksdagen	The Riksdag	Riksdag-ka	a: Riksdagen | b: Kungen ensam | c: Polismyndigheten | d: Regionfullmäktige	a: The Riksdag | b: The king alone | c: The Swedish Police Authority | d: The regional council	a: Riksdag-ka | b: Boqorka oo keliya | c: Hay’adda Booliska Iswiidhan | d: Golaha gobolka	Riksdagen väljer statsministern, som får i uppdrag att bilda regering. Statsministern väljer därefter ministrarna; varken kungen, Polismyndigheten eller regionfullmäktige väljer statsminister.	The Riksdag chooses the prime minister, who is then tasked with forming a government. The prime minister chooses the ministers; neither the king, the Swedish Police Authority, nor regional councils choose the prime minister.	Riksdag-ka ayaa doorta ra’iisul wasaaraha, kaas oo markaas loo xilsaaro inuu soo dhiso dowladda. Ra’iisul wasaaraha ayaa dabadeed doorta wasiirrada; boqorka, booliska ama golaha gobolku ma doortaan ra’iisul wasaaraha.	pending_native_review	pending_reviewer_notes
q019	so	4	Ch. 04 · Political elections and parties	Politiska val och partier	Val och röstning	14	Hur gammal måste man ha fyllt för att ha rösträtt?	How old must a person be to have the right to vote?	Immisa jir ayuu qofku noqonayaa si uu xaq ugu yeesho codeyn?	b	18 år	18 years old	18 sano	a: 16 år | b: 18 år | c: 20 år | d: 25 år	a: 16 years old | b: 18 years old | c: 20 years old | d: 25 years old	a: 16 sano | b: 18 sano | c: 20 sano | d: 25 sano	Man måste ha fyllt 18 år för att ha rösträtt. Därför är 16, 20 och 25 år fel här; i riksdagsval krävs också svenskt medborgarskap.	A person must have turned 18 to have the right to vote. That is why 16, 20, and 25 are wrong here; voting in a Riksdag election also requires Swedish citizenship.	Qofku waa inuu gaaray 18 sano si uu xaq ugu yeesho codeyn. Sidaas awgeed 16, 20 iyo 25 halkan waa khalad; doorashada Riksdag-ka waxaa sidoo kale loo baahan yahay muwaadinimo Iswiidhan.	pending_native_review	pending_reviewer_notes
q020	so	4	Ch. 04 · Political elections and parties	Politiska val och partier	Folkomröstningar	14	Vad betyder det att folkomröstningar i Sverige är rådgivande?	What does it mean that referendums in Sweden are advisory?	Maxay ka dhigan tahay in aftida Iswiidhan ay tahay talo-bixin?	a	Politikerna behöver inte följa resultatet	Politicians do not have to follow the result	Siyaasiyiintu qasab kuma aha inay raacaan natiijada	a: Politikerna behöver inte följa resultatet | b: Politikerna måste alltid följa resultatet | c: Folkomröstningar får bara hållas på nationell nivå | d: De ersätter ordinarie val till riksdagen	a: Politicians do not have to follow the result | b: Politicians must always follow the result | c: Referendums may only be held nationally | d: They replace regular Riksdag elections	a: Siyaasiyiintu qasab kuma aha inay raacaan natiijada | b: Siyaasiyiintu waa inay had iyo jeer raacaan natiijada | c: Aftida waxaa lagu qaban karaa heer qaran oo keliya | d: Waxay beddelaan doorashooyinka caadiga ah ee Riksdag-ka	Folkomröstningar kan hållas om en särskild fråga nationellt, i en region eller i en kommun. De är rådgivande, så politikerna behöver inte följa resultatet.	Referendums can be held on a specific issue nationally, in a region, or in a municipality. They are advisory, so politicians do not have to follow the result.	Aftida waxaa lagu qaban karaa arrin gaar ah heer qaran, gobol ama degmo. Waa talo-bixin, sidaa darteed siyaasiyiintu qasab kuma aha inay raacaan natiijada.	pending_native_review	pending_reviewer_notes
q021	so	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Landet styrs på olika nivåer	12	Vilka tre nivåer delar det politiska ansvaret i Sverige?	Which three levels share political responsibility in Sweden?	Saddexdee heer ayaa wadaaga mas’uuliyadda siyaasadeed ee Iswiidhan?	a	Stat, regioner och kommuner	The state, regions, and municipalities	Dowladda, gobollada iyo degmooyinka	a: Stat, regioner och kommuner | b: Kung, kyrka och adel | c: Polis, domstol och fängelse | d: Banker, företag och hushåll	a: The state, regions, and municipalities | b: The king, church, and nobility | c: Police, court, and prison | d: Banks, companies, and households	a: Dowladda, gobollada iyo degmooyinka | b: Boqorka, kaniisadda iyo dadka sharafka leh | c: Booliska, maxkamadda iyo xabsiga | d: Bangiyada, shirkadaha iyo qoysaska	Det politiska ansvaret i Sverige delas mellan nationell, regional och kommunal nivå. I praktiken betyder det staten, regionerna och kommunerna. EU-beslut kan också påverka Sverige.	Political responsibility in Sweden is divided between national, regional, and municipal levels. In practice, that means the state, regions, and municipalities. EU decisions can also affect Sweden.	Mas’uuliyadda siyaasadeed ee Iswiidhan waxay u qaybsantaa heer qaran, heer gobol iyo heer degmo. Ficil ahaan taasi waxay ka dhigan tahay dowladda, gobollada iyo degmooyinka. Go’aamada Midowga Yurub sidoo kale way saameyn karaan Iswiidhan.	pending_native_review	pending_reviewer_notes
