id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q011	pl	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad betyder demokrati?	What does democracy mean?	Co oznacza demokracja?	a	Folkstyre	Rule by the people	Rządy ludu	a: Folkstyre | b: Militärstyre | c: Envälde | d: Företagsstyre	a: Rule by the people | b: Military rule | c: Autocracy | d: Rule by companies	a: Rządy ludu | b: Rządy wojskowe | c: Samowładztwo | d: Rządy firm	Demokrati betyder folkstyre: makten utgår från folket och medborgarna kan påverka beslut. Människor ska kunna välja mellan flera politiska alternativ, och de som får makten ska kunna bytas ut. Militärstyre, envälde och företagsstyre lägger makten någon annanstans.	Democracy means rule by the people: power comes from the people, and citizens can influence decisions. People should be able to choose between several political alternatives, and those who gain power can be replaced. Military rule, autocracy, and rule by companies place power somewhere else.	Demokracja oznacza rządy ludu: władza pochodzi od ludzi, a obywatele mogą wpływać na decyzje. Ludzie powinni móc wybierać między kilkoma alternatywami politycznymi, a osoby sprawujące władzę powinny móc zostać zastąpione.	pending_native_review	pending_reviewer_notes
q012	pl	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vilket av följande ingår i fria val i en demokrati?	Which of the following is part of free elections in a democracy?	Który z poniższych elementów należy do wolnych wyborów w demokracji?	a	Alla som har rätt att rösta har en röst var	Everyone who is eligible to vote has one vote	Każdy uprawniony do głosowania ma po jednym głosie	a: Alla som har rätt att rösta har en röst var | b: Bara ett parti får ställa upp | c: Väljare måste visa offentligt hur de röstar | d: Regeringen bestämmer hur alla röster ska användas	a: Everyone who is eligible to vote has one vote | b: Only one party may stand for election | c: Voters must publicly show how they vote | d: The government decides how all votes must be used	a: Każdy uprawniony do głosowania ma po jednym głosie | b: Tylko jedna partia może startować | c: Wyborcy muszą publicznie pokazać, jak głosują | d: Rząd decyduje, jak mają zostać wykorzystane wszystkie głosy	Fria val innebär att alla som har rätt att rösta har en röst var. Väljare ska kunna uttrycka sina åsikter utan hot eller tvång, det ska finnas flera partier och valet ska vara hemligt.	Free elections mean that everyone who is eligible to vote has one vote. Voters should be able to express their views without threats or coercion, there should be several parties, and the vote should be secret.	Wolne wybory oznaczają, że każdy uprawniony do głosowania ma po jednym głosie. Wyborcy powinni móc wyrażać poglądy bez gróźb lub przymusu, powinno istnieć kilka partii, a głosowanie powinno być tajne.	pending_native_review	pending_reviewer_notes
q013	pl	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	En stark demokrati	10	Hur kan människor påverka samhället och delta i demokratin?	How can people influence society and participate in democracy?	Który sposób pozwala wpływać na społeczeństwo i uczestniczyć w nim?	a	Kontakta politiker, demonstrera eller skriva på en namninsamling	Contact politicians, join a demonstration, or sign a petition	Kontakt z politykami, demonstracja lub podpisanie petycji	a: Kontakta politiker, demonstrera eller skriva på en namninsamling | b: Förbjuda andra från att rösta i politiska val | c: Tvinga journalister att skriva vissa åsikter | d: Stoppa människor från att prata om politik	a: Contact politicians, join a demonstration, or sign a petition | b: Ban others from voting in political elections | c: Force journalists to write certain opinions | d: Stop people from talking about politics	a: Kontakt z politykami, demonstracja lub podpisanie petycji | b: Zakazywanie innym głosowania w wyborach politycznych | c: Zmuszanie dziennikarzy do pisania określonych opinii | d: Powstrzymywanie ludzi od rozmów o polityce	Det finns flera demokratiska sätt att påverka och delta i samhället, till exempel att kontakta politiker, demonstrera och starta eller skriva på en namninsamling. De andra alternativen skulle hindra människor från att rösta, uttrycka åsikter eller delta i demokratin.	People can influence and participate in society in several democratic ways, including contacting politicians, joining a demonstration, and starting or signing a petition. The other options would stop people from voting, expressing opinions, or taking part in democracy.	Istnieje kilka demokratycznych sposobów wpływania na społeczeństwo i uczestniczenia w nim, na przykład kontakt z politykami, demonstracje oraz rozpoczęcie lub podpisanie petycji. Pozostałe opcje utrudniałyby ludziom głosowanie, wyrażanie opinii lub udział w demokracji.	pending_native_review	pending_reviewer_notes
q014	pl	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad kallas det när lagarna gäller lika för alla och ingen får dömas utan en rättvis rättegång?	What is it called when laws apply equally to everyone and no one can be convicted without a fair trial?	Jak nazywa się sytuacja, gdy prawo obowiązuje wszystkich tak samo i nikt nie może zostać skazany bez sprawiedliwego procesu?	a	Rättssäkerhet	The rule of law	Pewność prawna	a: Rättssäkerhet | b: Censur | c: Segregation | d: Monarki	a: The rule of law | b: Censorship | c: Segregation | d: Monarchy	a: Pewność prawna | b: Cenzura | c: Segregacja | d: Monarchia	Rättssäkerhet betyder att lagarna gäller för alla och att ingen får dömas utan en rättvis rättegång. Censur, segregation och monarki betyder andra saker.	The rule of law means that laws apply to everyone and that no one can be convicted without a fair trial. Censorship, segregation, and monarchy mean other things.	Pewność prawna oznacza, że prawo obowiązuje wszystkich i że nikt nie może zostać skazany bez sprawiedliwego procesu. Cenzura, segregacja i monarchia oznaczają coś innego.	pending_native_review	pending_reviewer_notes
q015	pl	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Hot mot demokratin	11	Hur kan ett lågt valdeltagande påverka demokratin?	How can a low voter turnout affect democracy?	Jak niska frekwencja wyborcza może wpłynąć na demokrację?	a	Människor kan få mindre möjlighet att påverka politiska beslut	People may have fewer opportunities to influence political decisions	Ludzie mogą mieć mniejsze możliwości wpływania na decyzje polityczne	a: Människor kan få mindre möjlighet att påverka politiska beslut | b: Alla väljare får två röster var i nästa val | c: Domstolarna tar över riksdagens uppgifter | d: Samhället blir automatiskt mer integrerat	a: People may have fewer opportunities to influence political decisions | b: All voters get two votes each in the next election | c: The courts take over the Riksdag's tasks | d: Society automatically becomes more integrated	a: Ludzie mogą mieć mniejsze możliwości wpływania na decyzje polityczne | b: Wszyscy wyborcy dostają po dwa głosy w następnych wyborach | c: Sądy przejmują zadania parlamentu | d: Społeczeństwo automatycznie staje się bardziej zintegrowane	Ett lågt valdeltagande kan göra det svårare för människor att påverka politiska beslut i sin vardag. Det kan också öka skillnaderna mellan grupper i samhället; de andra alternativen beskriver följder som inte följer av lågt valdeltagande.	Low voter turnout can leave people with fewer opportunities to influence political decisions in everyday life. It can also widen differences between groups in society; the other options describe effects that do not follow from low voter turnout.	Niska frekwencja może utrudnić ludziom wpływanie na decyzje polityczne w codziennym życiu. Może też zwiększać różnice między grupami w społeczeństwie. Pozostałe opcje nie wynikają z niskiej frekwencji.	pending_native_review	pending_reviewer_notes
q016	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur väljer medborgarna ledamöter till riksdagen i Sveriges parlamentariska representativa demokrati?	How do citizens choose members of the Riksdag in Sweden's parliamentary representative democracy?	Jak obywatele wybierają członków Riksdagu w szwedzkiej demokracji parlamentarnej przedstawicielskiej?	a	Genom att rösta i allmänna val	By voting in general elections	Głosując w wyborach powszechnych	a: Genom att rösta i allmänna val | b: Domstolarna väljer alla riksdagsledamöter | c: Kungen bestämmer ensam över riksdagen | d: Myndigheter röstar fram regeringen	a: By voting in general elections | b: The courts elect all members of the Riksdag | c: The king alone decides over the Riksdag | d: Government agencies vote the government into office	a: Głosując w wyborach powszechnych | b: Sądy wybierają wszystkich członków Riksdagu | c: Król sam decyduje o Riksdagu | d: Urzędy państwowe wybierają rząd w głosowaniu	Sverige är en parlamentarisk representativ demokrati: medborgarna väljer riksdagsledamöter genom att rösta i allmänna val. Riksdagen fattar sedan beslut om lagar och statens budget, så varken domstolarna, kungen eller myndigheter väljer ledamöterna.	Sweden is a parliamentary representative democracy: citizens elect members of the Riksdag by voting in general elections. The Riksdag then decides on laws and the state budget, so the courts, the king, and government agencies do not choose its members.	Szwecja jest parlamentarną demokracją przedstawicielską: obywatele wybierają członków Riksdagu, głosując w wyborach powszechnych. Riksdag decyduje potem o ustawach i budżecie państwa, więc sądy, król ani urzędy nie wybierają posłów.	pending_native_review	pending_reviewer_notes
q017	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur många ledamöter har riksdagen?	How many members does the Riksdag have?	Ilu członków ma Riksdag?	c	349	349	349	a: 21 | b: 290 | c: 349 | d: 1 600	a: 21 | b: 290 | c: 349 | d: 1,600	a: 21 | b: 290 | c: 349 | d: 1600	Riksdagen har 349 ledamöter, och de väljs vart fjärde år. Talen 21, 290 och 1 600 anger inte antalet ledamöter i riksdagen.	The Riksdag has 349 members, and they are elected every four years. The numbers 21, 290, and 1,600 do not give the number of Riksdag members.	Riksdag ma 349 członków, wybieranych co cztery lata. Liczby 21, 290 i 1600 nie oznaczają liczby członków Riksdagu.	pending_native_review	pending_reviewer_notes
q018	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Vem väljer statsministern?	Who chooses the prime minister?	Kto wybiera premiera?	a	Riksdagen	The Riksdag	Riksdag	a: Riksdagen | b: Kungen ensam | c: Polismyndigheten | d: Regionfullmäktige	a: The Riksdag | b: The king alone | c: The Swedish Police Authority | d: The regional council	a: Riksdag | b: Sam król | c: Szwedzka Policja | d: Rada regionu	Riksdagen väljer statsministern, som får i uppdrag att bilda regering. Statsministern väljer därefter ministrarna; varken kungen, Polismyndigheten eller regionfullmäktige väljer statsminister.	The Riksdag chooses the prime minister, who is then tasked with forming a government. The prime minister chooses the ministers; neither the king, the Swedish Police Authority, nor regional councils choose the prime minister.	Riksdag wybiera premiera, któremu powierza się utworzenie rządu. Następnie premier wybiera ministrów; ani król, ani policja, ani rada regionu nie wybierają premiera.	pending_native_review	pending_reviewer_notes
q019	pl	4	Ch. 04 · Political elections and parties	Politiska val och partier	Val och röstning	14	Hur gammal måste man ha fyllt för att ha rösträtt?	How old must a person be to have the right to vote?	Ile lat trzeba mieć ukończone, aby mieć prawo głosu?	b	18 år	18 years old	18 lat	a: 16 år | b: 18 år | c: 20 år | d: 25 år	a: 16 years old | b: 18 years old | c: 20 years old | d: 25 years old	a: 16 lat | b: 18 lat | c: 20 lat | d: 25 lat	Man måste ha fyllt 18 år för att ha rösträtt. Därför är 16, 20 och 25 år fel här; i riksdagsval krävs också svenskt medborgarskap.	A person must have turned 18 to have the right to vote. That is why 16, 20, and 25 are wrong here; voting in a Riksdag election also requires Swedish citizenship.	Aby mieć prawo głosu, trzeba mieć ukończone 18 lat. Dlatego 16, 20 i 25 lat są tutaj błędne; w wyborach do Riksdagu wymagane jest także obywatelstwo szwedzkie.	pending_native_review	pending_reviewer_notes
q020	pl	4	Ch. 04 · Political elections and parties	Politiska val och partier	Folkomröstningar	14	Vad betyder det att folkomröstningar i Sverige är rådgivande?	What does it mean that referendums in Sweden are advisory?	Co oznacza, że referenda w Szwecji mają charakter doradczy?	a	Politikerna behöver inte följa resultatet	Politicians do not have to follow the result	Politycy nie muszą stosować się do wyniku	a: Politikerna behöver inte följa resultatet | b: Politikerna måste alltid följa resultatet | c: Folkomröstningar får bara hållas på nationell nivå | d: De ersätter ordinarie val till riksdagen	a: Politicians do not have to follow the result | b: Politicians must always follow the result | c: Referendums may only be held nationally | d: They replace regular Riksdag elections	a: Politycy nie muszą stosować się do wyniku | b: Politycy muszą zawsze stosować się do wyniku | c: Referenda mogą odbywać się tylko na poziomie krajowym | d: Zastępują zwykłe wybory do Riksdagu	Folkomröstningar kan hållas om en särskild fråga nationellt, i en region eller i en kommun. De är rådgivande, så politikerna behöver inte följa resultatet.	Referendums can be held on a specific issue nationally, in a region, or in a municipality. They are advisory, so politicians do not have to follow the result.	Referenda mogą odbywać się w konkretnej sprawie na poziomie krajowym, w regionie lub w gminie. Mają charakter doradczy, więc politycy nie muszą stosować się do wyniku.	pending_native_review	pending_reviewer_notes
q021	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Landet styrs på olika nivåer	12	Vilka tre nivåer delar det politiska ansvaret i Sverige?	Which three levels share political responsibility in Sweden?	Które trzy poziomy dzielą odpowiedzialność polityczną w Szwecji?	a	Stat, regioner och kommuner	The state, regions, and municipalities	Państwo, regiony i gminy	a: Stat, regioner och kommuner | b: Kung, kyrka och adel | c: Polis, domstol och fängelse | d: Banker, företag och hushåll	a: The state, regions, and municipalities | b: The king, church, and nobility | c: Police, court, and prison | d: Banks, companies, and households	a: Państwo, regiony i gminy | b: Król, kościół i szlachta | c: Policja, sąd i więzienie | d: Banki, firmy i gospodarstwa domowe	Det politiska ansvaret i Sverige delas mellan nationell, regional och kommunal nivå. I praktiken betyder det staten, regionerna och kommunerna. EU-beslut kan också påverka Sverige.	Political responsibility in Sweden is divided between national, regional, and municipal levels. In practice, that means the state, regions, and municipalities. EU decisions can also affect Sweden.	Odpowiedzialność polityczna w Szwecji jest podzielona między poziom krajowy, regionalny i gminny. W praktyce oznacza to państwo, regiony i gminy. Decyzje UE również mogą wpływać na Szwecję.	pending_native_review	pending_reviewer_notes
q022	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Vilken av följande uppgifter har riksdagen?	Which of the following tasks belongs to the Riksdag?	Które z poniższych zadań należy do Riksdagu?	c	Att besluta om lagar och hur statens pengar ska användas	To decide laws and how the state's money should be used	Decydowanie o ustawach i o tym, jak używa się pieniędzy państwa	a: Att sköta regionernas kollektivtrafik | b: Att vara Sveriges statschef | c: Att besluta om lagar och hur statens pengar ska användas | d: Att ensam utreda brott	a: To manage regional public transport | b: To be Sweden's head of state | c: To decide laws and how the state's money should be used | d: To investigate crimes alone	a: Zarządzanie regionalnym transportem publicznym | b: Pełnienie funkcji głowy państwa Szwecji | c: Decydowanie o ustawach i o tym, jak używa się pieniędzy państwa | d: Samodzielne prowadzenie dochodzeń w sprawach przestępstw	Riksdagens ledamöter beslutar om lagar, statens budget och hur statens pengar ska användas. Därför är alternativet om lagar och statens pengar rätt; kollektivtrafik, statschef och brottsutredningar hör till andra delar av samhället.	Members of the Riksdag decide laws, the state budget, and how the state's money should be used. Therefore the option about laws and state money is correct; public transport, the head of state, and criminal investigations belong to other parts of society.	Członkowie Riksdagu decydują o ustawach, budżecie państwa i o tym, jak używa się pieniędzy państwa. Dlatego odpowiedź o ustawach i pieniądzach państwa jest poprawna; transport publiczny, głowa państwa i dochodzenia karne należą do innych części społeczeństwa.	pending_native_review	pending_reviewer_notes
q023	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Riksdagen väljer statsminister.	The Riksdag chooses the prime minister.	Riksdag wybiera premiera.	true	Sant	True	Prawda	true: Sant | false: Falskt	true: True | false: False	true: Prawda | false: Fałsz	Riksdagen väljer statsminister, som får i uppdrag att bilda regering. Därefter väljer statsministern ministrarna i regeringen.	The Riksdag chooses the prime minister, who is given the task of forming a government. The prime minister then chooses the government ministers.	Riksdag wybiera premiera, któremu powierza się utworzenie rządu. Następnie premier wybiera ministrów rządu.	pending_native_review	pending_reviewer_notes
q024	pl	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Myndigheter	13	Vilket påstående beskriver statliga myndigheter?	Which statement describes government agencies?	Które stwierdzenie opisuje urzędy państwowe?	b	De genomför beslut och måste följa lagar och regeringens instruktioner	They implement decisions and must follow laws and government instructions	Wykonują decyzje i muszą przestrzegać prawa oraz instrukcji rządu	a: De ersätter domstolarna i brottmål | b: De genomför beslut och måste följa lagar och regeringens instruktioner | c: De beslutar vem som blir kung eller drottning | d: De skriver partiernas valprogram	a: They replace courts in criminal cases | b: They implement decisions and must follow laws and government instructions | c: They decide who becomes king or queen | d: They write parties’ election platforms	a: Zastępują sądy w sprawach karnych | b: Wykonują decyzje i muszą przestrzegać prawa oraz instrukcji rządu | c: Decydują, kto zostaje królem lub królową | d: Piszą programy wyborcze partii	Regeringen styr landet med hjälp av statliga myndigheter. Myndigheterna genomför beslut i praktiken och måste följa lagen samt regeringens instruktioner, därför är alternativet om beslut och regler rätt.	The government carries out its work through government agencies. Agencies put decisions into practice and must follow the law and the government's instructions, so the option about decisions and rules is correct.	Rząd kieruje krajem z pomocą urzędów państwowych. Urzędy w praktyce wykonują decyzje i muszą przestrzegać prawa oraz instrukcji rządu, więc odpowiedź o decyzjach i regułach jest poprawna.	pending_native_review	pending_reviewer_notes
