id	locale	chapter_id	chapter_label	source_chapter	source_section	source_page	question_sv	question_en	question_target	correct_option_id	correct_option_sv	correct_option_en	correct_option_target	options_sv	options_en	options_target	explanation_sv	explanation_en	explanation_target	native_review_status	reviewer_notes
q011	fa	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad betyder demokrati?	What does democracy mean?	دموکراسی به چه معناست؟	a	Folkstyre	Rule by the people	حکومت مردم	a: Folkstyre | b: Militärstyre | c: Envälde | d: Företagsstyre	a: Rule by the people | b: Military rule | c: Autocracy | d: Rule by companies	a: حکومت مردم | b: حکومت نظامی | c: خودکامگی | d: حکومت شرکت‌ها	Demokrati betyder folkstyre: makten utgår från folket och medborgarna kan påverka beslut. Människor ska kunna välja mellan flera politiska alternativ, och de som får makten ska kunna bytas ut. Militärstyre, envälde och företagsstyre lägger makten någon annanstans.	Democracy means rule by the people: power comes from the people, and citizens can influence decisions. People should be able to choose between several political alternatives, and those who gain power can be replaced. Military rule, autocracy, and rule by companies place power somewhere else.	دموکراسی یعنی حکومت مردم: قدرت از مردم سرچشمه می‌گیرد و شهروندان می‌توانند بر تصمیم‌ها اثر بگذارند. مردم باید بتوانند میان چند گزینه سیاسی انتخاب کنند و صاحبان قدرت باید قابل تغییر باشند.	pending_native_review	pending_reviewer_notes
q012	fa	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vilket av följande ingår i fria val i en demokrati?	Which of the following is part of free elections in a democracy?	کدام یک از موارد زیر بخشی از انتخابات آزاد در دموکراسی است؟	a	Alla som har rätt att rösta har en röst var	Everyone who is eligible to vote has one vote	هر کس حق رأی دارد، یک رأی دارد	a: Alla som har rätt att rösta har en röst var | b: Bara ett parti får ställa upp | c: Väljare måste visa offentligt hur de röstar | d: Regeringen bestämmer hur alla röster ska användas	a: Everyone who is eligible to vote has one vote | b: Only one party may stand for election | c: Voters must publicly show how they vote | d: The government decides how all votes must be used	a: هر کس حق رأی دارد، یک رأی دارد | b: فقط یک حزب می‌تواند نامزد شود | c: رأی‌دهندگان باید آشکارا نشان دهند چگونه رأی می‌دهند | d: دولت تصمیم می‌گیرد همه رأی‌ها چگونه استفاده شوند	Fria val innebär att alla som har rätt att rösta har en röst var. Väljare ska kunna uttrycka sina åsikter utan hot eller tvång, det ska finnas flera partier och valet ska vara hemligt.	Free elections mean that everyone who is eligible to vote has one vote. Voters should be able to express their views without threats or coercion, there should be several parties, and the vote should be secret.	انتخابات آزاد یعنی هر فرد دارای حق رأی یک رأی دارد. رأی‌دهندگان باید بتوانند بدون تهدید یا اجبار نظر خود را بیان کنند، چند حزب وجود داشته باشد و رأی‌گیری مخفی باشد.	pending_native_review	pending_reviewer_notes
q013	fa	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	En stark demokrati	10	Hur kan människor påverka samhället och delta i demokratin?	How can people influence society and participate in democracy?	کدام راهی برای اثرگذاری و مشارکت در جامعه است؟	a	Kontakta politiker, demonstrera eller skriva på en namninsamling	Contact politicians, join a demonstration, or sign a petition	تماس با سیاستمداران، تظاهرات یا امضای دادخواست	a: Kontakta politiker, demonstrera eller skriva på en namninsamling | b: Förbjuda andra från att rösta i politiska val | c: Tvinga journalister att skriva vissa åsikter | d: Stoppa människor från att prata om politik	a: Contact politicians, join a demonstration, or sign a petition | b: Ban others from voting in political elections | c: Force journalists to write certain opinions | d: Stop people from talking about politics	a: تماس با سیاستمداران، تظاهرات یا امضای دادخواست | b: منع دیگران از رأی دادن در انتخابات سیاسی | c: وادار کردن روزنامه‌نگاران به نوشتن نظرهای خاص | d: جلوگیری از صحبت مردم درباره سیاست	Det finns flera demokratiska sätt att påverka och delta i samhället, till exempel att kontakta politiker, demonstrera och starta eller skriva på en namninsamling. De andra alternativen skulle hindra människor från att rösta, uttrycka åsikter eller delta i demokratin.	People can influence and participate in society in several democratic ways, including contacting politicians, joining a demonstration, and starting or signing a petition. The other options would stop people from voting, expressing opinions, or taking part in democracy.	راه‌های دموکراتیک گوناگونی برای اثرگذاری و مشارکت در جامعه وجود دارد، مانند تماس با سیاستمداران، تظاهرات و شروع یا امضای دادخواست. گزینه‌های دیگر مانع رأی دادن، بیان نظر یا مشارکت مردم در دموکراسی می‌شوند.	pending_native_review	pending_reviewer_notes
q014	fa	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Demokrati betyder folkstyre	10	Vad kallas det när lagarna gäller lika för alla och ingen får dömas utan en rättvis rättegång?	What is it called when laws apply equally to everyone and no one can be convicted without a fair trial?	وقتی قانون‌ها برای همه یکسان اجرا می‌شوند و هیچ‌کس بدون دادرسی عادلانه محکوم نمی‌شود، به آن چه می‌گویند؟	a	Rättssäkerhet	The rule of law	قطعیت حقوقی	a: Rättssäkerhet | b: Censur | c: Segregation | d: Monarki	a: The rule of law | b: Censorship | c: Segregation | d: Monarchy	a: قطعیت حقوقی | b: سانسور | c: جداسازی | d: پادشاهی	Rättssäkerhet betyder att lagarna gäller för alla och att ingen får dömas utan en rättvis rättegång. Censur, segregation och monarki betyder andra saker.	The rule of law means that laws apply to everyone and that no one can be convicted without a fair trial. Censorship, segregation, and monarchy mean other things.	قطعیت حقوقی یعنی قانون‌ها برای همه اجرا می‌شوند و هیچ‌کس بدون دادرسی عادلانه محکوم نمی‌شود. سانسور، جداسازی و پادشاهی معنی‌های دیگری دارند.	pending_native_review	pending_reviewer_notes
q015	fa	2	Ch. 02 · Sweden's democratic system	Sveriges demokratiska system	Hot mot demokratin	11	Hur kan ett lågt valdeltagande påverka demokratin?	How can a low voter turnout affect democracy?	مشارکت پایین در انتخابات چگونه می‌تواند بر دموکراسی اثر بگذارد؟	a	Människor kan få mindre möjlighet att påverka politiska beslut	People may have fewer opportunities to influence political decisions	مردم ممکن است فرصت کمتری برای اثرگذاری بر تصمیم‌های سیاسی داشته باشند	a: Människor kan få mindre möjlighet att påverka politiska beslut | b: Alla väljare får två röster var i nästa val | c: Domstolarna tar över riksdagens uppgifter | d: Samhället blir automatiskt mer integrerat	a: People may have fewer opportunities to influence political decisions | b: All voters get two votes each in the next election | c: The courts take over the Riksdag's tasks | d: Society automatically becomes more integrated	a: مردم ممکن است فرصت کمتری برای اثرگذاری بر تصمیم‌های سیاسی داشته باشند | b: همه رأی‌دهندگان در انتخابات بعدی دو رأی خواهند داشت | c: دادگاه‌ها وظایف ریکسداگ را بر عهده می‌گیرند | d: جامعه به طور خودکار یکپارچه‌تر می‌شود	Ett lågt valdeltagande kan göra det svårare för människor att påverka politiska beslut i sin vardag. Det kan också öka skillnaderna mellan grupper i samhället; de andra alternativen beskriver följder som inte följer av lågt valdeltagande.	Low voter turnout can leave people with fewer opportunities to influence political decisions in everyday life. It can also widen differences between groups in society; the other options describe effects that do not follow from low voter turnout.	مشارکت پایین در انتخابات می‌تواند اثرگذاری مردم بر تصمیم‌های سیاسی در زندگی روزمره را دشوارتر کند. همچنین می‌تواند تفاوت میان گروه‌های جامعه را افزایش دهد. گزینه‌های دیگر نتیجه مشارکت پایین نیستند.	pending_native_review	pending_reviewer_notes
q016	fa	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur väljer medborgarna ledamöter till riksdagen i Sveriges parlamentariska representativa demokrati?	How do citizens choose members of the Riksdag in Sweden's parliamentary representative democracy?	در دموکراسی نمایندگی پارلمانی سوئد، شهروندان چگونه اعضای ریکسداگ را انتخاب می‌کنند؟	a	Genom att rösta i allmänna val	By voting in general elections	با رأی دادن در انتخابات عمومی	a: Genom att rösta i allmänna val | b: Domstolarna väljer alla riksdagsledamöter | c: Kungen bestämmer ensam över riksdagen | d: Myndigheter röstar fram regeringen	a: By voting in general elections | b: The courts elect all members of the Riksdag | c: The king alone decides over the Riksdag | d: Government agencies vote the government into office	a: با رأی دادن در انتخابات عمومی | b: دادگاه‌ها همه اعضای ریکسداگ را انتخاب می‌کنند | c: پادشاه به تنهایی درباره ریکسداگ تصمیم می‌گیرد | d: سازمان‌های دولتی دولت را با رأی انتخاب می‌کنند	Sverige är en parlamentarisk representativ demokrati: medborgarna väljer riksdagsledamöter genom att rösta i allmänna val. Riksdagen fattar sedan beslut om lagar och statens budget, så varken domstolarna, kungen eller myndigheter väljer ledamöterna.	Sweden is a parliamentary representative democracy: citizens elect members of the Riksdag by voting in general elections. The Riksdag then decides on laws and the state budget, so the courts, the king, and government agencies do not choose its members.	سوئد یک دموکراسی نمایندگی پارلمانی است: شهروندان با رأی دادن در انتخابات عمومی اعضای ریکسداگ را انتخاب می‌کنند. سپس ریکسداگ درباره قانون‌ها و بودجه دولت تصمیم می‌گیرد، بنابراین دادگاه‌ها، پادشاه یا سازمان‌های دولتی اعضا را انتخاب نمی‌کنند. (Riksdag)	pending_native_review	pending_reviewer_notes
q017	fa	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Hur många ledamöter har riksdagen?	How many members does the Riksdag have?	ریکسداگ چند عضو دارد؟	c	349	349	۳۴۹	a: 21 | b: 290 | c: 349 | d: 1 600	a: 21 | b: 290 | c: 349 | d: 1,600	a: ۲۱ | b: ۲۹۰ | c: ۳۴۹ | d: ۱۶۰۰	Riksdagen har 349 ledamöter, och de väljs vart fjärde år. Talen 21, 290 och 1 600 anger inte antalet ledamöter i riksdagen.	The Riksdag has 349 members, and they are elected every four years. The numbers 21, 290, and 1,600 do not give the number of Riksdag members.	ریکسداگ ۳۴۹ عضو دارد و آن‌ها هر چهار سال انتخاب می‌شوند. عددهای ۲۱، ۲۹۰ و ۱۶۰۰ شمار اعضای ریکسداگ نیستند. (Riksdag)	pending_native_review	pending_reviewer_notes
q018	fa	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Vem väljer statsministern?	Who chooses the prime minister?	چه کسی نخست‌وزیر را انتخاب می‌کند؟	a	Riksdagen	The Riksdag	ریکسداگ	a: Riksdagen | b: Kungen ensam | c: Polismyndigheten | d: Regionfullmäktige	a: The Riksdag | b: The king alone | c: The Swedish Police Authority | d: The regional council	a: ریکسداگ | b: تنها پادشاه | c: اداره پلیس سوئد | d: شورای منطقه	Riksdagen väljer statsministern, som får i uppdrag att bilda regering. Statsministern väljer därefter ministrarna; varken kungen, Polismyndigheten eller regionfullmäktige väljer statsminister.	The Riksdag chooses the prime minister, who is then tasked with forming a government. The prime minister chooses the ministers; neither the king, the Swedish Police Authority, nor regional councils choose the prime minister.	ریکسداگ نخست‌وزیر را انتخاب می‌کند و او مأمور تشکیل دولت می‌شود. سپس نخست‌وزیر وزیران را انتخاب می‌کند؛ پادشاه، پلیس یا شورای منطقه نخست‌وزیر را انتخاب نمی‌کنند. (Riksdag)	pending_native_review	pending_reviewer_notes
q019	fa	4	Ch. 04 · Political elections and parties	Politiska val och partier	Val och röstning	14	Hur gammal måste man ha fyllt för att ha rösträtt?	How old must a person be to have the right to vote?	برای داشتن حق رأی، فرد باید چند ساله شده باشد؟	b	18 år	18 years old	۱۸ سال	a: 16 år | b: 18 år | c: 20 år | d: 25 år	a: 16 years old | b: 18 years old | c: 20 years old | d: 25 years old	a: ۱۶ سال | b: ۱۸ سال | c: ۲۰ سال | d: ۲۵ سال	Man måste ha fyllt 18 år för att ha rösträtt. Därför är 16, 20 och 25 år fel här; i riksdagsval krävs också svenskt medborgarskap.	A person must have turned 18 to have the right to vote. That is why 16, 20, and 25 are wrong here; voting in a Riksdag election also requires Swedish citizenship.	برای داشتن حق رأی، فرد باید ۱۸ ساله شده باشد. بنابراین ۱۶، ۲۰ و ۲۵ در اینجا نادرست هستند؛ در انتخابات ریکسداگ شهروندی سوئد نیز لازم است.	pending_native_review	pending_reviewer_notes
q020	fa	4	Ch. 04 · Political elections and parties	Politiska val och partier	Folkomröstningar	14	Vad betyder det att folkomröstningar i Sverige är rådgivande?	What does it mean that referendums in Sweden are advisory?	اینکه همه‌پرسی‌ها در سوئد مشورتی هستند یعنی چه؟	a	Politikerna behöver inte följa resultatet	Politicians do not have to follow the result	سیاستمداران مجبور نیستند نتیجه را دنبال کنند	a: Politikerna behöver inte följa resultatet | b: Politikerna måste alltid följa resultatet | c: Folkomröstningar får bara hållas på nationell nivå | d: De ersätter ordinarie val till riksdagen	a: Politicians do not have to follow the result | b: Politicians must always follow the result | c: Referendums may only be held nationally | d: They replace regular Riksdag elections	a: سیاستمداران مجبور نیستند نتیجه را دنبال کنند | b: سیاستمداران همیشه باید نتیجه را دنبال کنند | c: همه‌پرسی فقط در سطح ملی می‌تواند برگزار شود | d: آن‌ها جای انتخابات عادی ریکسداگ را می‌گیرند	Folkomröstningar kan hållas om en särskild fråga nationellt, i en region eller i en kommun. De är rådgivande, så politikerna behöver inte följa resultatet.	Referendums can be held on a specific issue nationally, in a region, or in a municipality. They are advisory, so politicians do not have to follow the result.	همه‌پرسی می‌تواند درباره یک موضوع مشخص در سطح ملی، منطقه یا کمون برگزار شود. این همه‌پرسی‌ها مشورتی هستند، بنابراین سیاستمداران مجبور نیستند نتیجه را دنبال کنند.	pending_native_review	pending_reviewer_notes
q021	fa	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Landet styrs på olika nivåer	12	Vilka tre nivåer delar det politiska ansvaret i Sverige?	Which three levels share political responsibility in Sweden?	در سوئد کدام سه سطح مسئولیت سیاسی را تقسیم می‌کنند؟	a	Stat, regioner och kommuner	The state, regions, and municipalities	دولت، منطقه‌ها و کمون‌ها	a: Stat, regioner och kommuner | b: Kung, kyrka och adel | c: Polis, domstol och fängelse | d: Banker, företag och hushåll	a: The state, regions, and municipalities | b: The king, church, and nobility | c: Police, court, and prison | d: Banks, companies, and households	a: دولت، منطقه‌ها و کمون‌ها | b: پادشاه، کلیسا و اشراف | c: پلیس، دادگاه و زندان | d: بانک‌ها، شرکت‌ها و خانوارها	Det politiska ansvaret i Sverige delas mellan nationell, regional och kommunal nivå. I praktiken betyder det staten, regionerna och kommunerna. EU-beslut kan också påverka Sverige.	Political responsibility in Sweden is divided between national, regional, and municipal levels. In practice, that means the state, regions, and municipalities. EU decisions can also affect Sweden.	مسئولیت سیاسی در سوئد میان سطح ملی، منطقه‌ای و کمونی تقسیم می‌شود. در عمل یعنی دولت، منطقه‌ها و کمون‌ها. تصمیم‌های اتحادیه اروپا نیز می‌تواند بر سوئد اثر بگذارد.	pending_native_review	pending_reviewer_notes
q022	fa	3	Ch. 03 · How Sweden is governed	Så här styrs Sverige	Staten	12	Vilken av följande uppgifter har riksdagen?	Which of the following tasks belongs to the Riksdag?	کدام یک از وظایف زیر مربوط به ریکسداگ است؟	c	Att besluta om lagar och hur statens pengar ska användas	To decide laws and how the state's money should be used	تصمیم‌گیری درباره قانون‌ها و نحوه استفاده از پول دولت	a: Att sköta regionernas kollektivtrafik | b: Att vara Sveriges statschef | c: Att besluta om lagar och hur statens pengar ska användas | d: Att ensam utreda brott	a: To manage regional public transport | b: To be Sweden's head of state | c: To decide laws and how the state's money should be used | d: To investigate crimes alone	a: اداره حمل‌ونقل عمومی منطقه‌ای | b: رئیس کشور سوئد بودن | c: تصمیم‌گیری درباره قانون‌ها و نحوه استفاده از پول دولت | d: به‌تنهایی درباره جرم‌ها تحقیق کردن	Riksdagens ledamöter beslutar om lagar, statens budget och hur statens pengar ska användas. Därför är alternativet om lagar och statens pengar rätt; kollektivtrafik, statschef och brottsutredningar hör till andra delar av samhället.	Members of the Riksdag decide laws, the state budget, and how the state's money should be used. Therefore the option about laws and state money is correct; public transport, the head of state, and criminal investigations belong to other parts of society.	اعضای ریکسداگ درباره قانون‌ها، بودجه دولت و چگونگی استفاده از پول دولت تصمیم می‌گیرند. بنابراین گزینه مربوط به قانون‌ها و پول دولت درست است؛ حمل‌ونقل عمومی، رئیس کشور و تحقیقات جنایی به بخش‌های دیگر جامعه مربوط می‌شوند.	pending_native_review	pending_reviewer_notes
